start_index,start_time,V_pre_total_1_10V,V_min_total_1_10V,V_drop_total_pct,soc_pct_est_pack,temp_avg_start_C,R_internal_est_ohm_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max
30,2022-01-27 07:42:40.632569,405.0,323.0,20.246913580246915,40.0,5.375,0.03504273504273504,16.408668730650156,5.788782497389065,1.500000000000001
31,2022-01-27 09:12:44.861055,480.0,428.0,10.833333333333334,46.24999999999997,10.6625,0.01056910569105691,13.043478260869565,0.42823701224976674,1.0000000000000007
32,2022-01-27 09:21:26.100844,496.0,425.0,14.31451612903226,78.00000000000004,11.1,0.014519427402862987,13.895216400911162,1.311575153233373,1.5000000000000016
33,2022-03-15 09:44:19.963826,557.0,384.0,31.05924596050269,100.0,11.285,0.03502024291497976,24.153498871331827,2.740996233784869,1.0000000000000009
34,2022-04-14 08:14:38.731284,606.0,385.0,36.46864686468646,100.0,11.3,0.044466800804828975,33.46855983772819,11.72998350278628,1.5100000000000013
35,2022-04-19 07:33:58.915003,497.0,451.0,9.25553319919517,81.00000000000004,17.825,0.009292929292929294,5.2631578947368425,1.2032298720554504,1.010000000000001
36,2022-04-19 07:34:25.474679,500.0,454.0,9.2,90.0,17.758333333333333,0.009311740890688258,2.459016393442623,0.5217116590648473,1.0100000000000007
37,2022-04-19 13:03:49.727457,500.0,442.0,11.600000000000001,90.0,18.616666666666667,0.011764705882352941,12.258064516129032,0.5828988702556536,1.000000000000001
38,2022-04-20 08:16:50.247012,501.0,476.0,4.990019960079841,91.25,18.541666666666668,0.006459948320413436,2.459016393442623,0.38955889203888716,0.5000000000000004
39,2022-04-20 09:18:49.253907,504.0,475.0,5.753968253968254,95.0,18.35,0.007160493827160493,1.6129032258064515,0.4368272276967776,0.5000000000000002
40,2022-05-16 08:52:17.547990,489.0,435.0,11.042944785276074,62.08333333333334,15.8,0.010931174089068827,16.017316017316016,1.7158221470742387,1.000000000000001
