start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
18,2026-03-07 19:30:54.515913,can_tapper30,"rgb(228,26,28)",495.0,449.0,499.0,9.292929292929292,75.58333333333339,87.00000000000001,1.2328805479464882,1500,16.93,0.0,294.0,294.0,1.437797,-66.61513157894737,17.0,2.030101,0.011224489795918367,0.015646258503401362,0.012585034013605443,8.15450643776824,0.6077361489639898,1.0000000000001563,2.892719705486028,0.6018930286044779,59.962625,119.941899,75886.768605,2160,371,599,60.0,120.0
19,2026-03-08 11:46:15.140529,can_tapper30,"rgb(55,126,184)",500.0,460.0,503.0,8.0,90.0,93.75,1.9982586658925852,1500,14.325,0.0,277.0,277.0,1.459883,-33.17484662576687,26.0,2.062852,0.011191335740072202,0.01444043321299639,0.012274368231046932,5.128205128205129,0.7060508105849941,0.5000000000000782,2.0171482422437275,0.5837745519911387,59.969174,119.955652,58520.624616,2159,496,668,60.0,120.0
20,2026-03-08 12:51:44.373118,can_tapper30,"rgb(77,175,74)",503.0,434.0,504.0,13.717693836978132,93.75,95.0,2.9232752156300525e-13,1500,15.575,18.0,344.0,326.0,1.062756,-25.469314079422382,132.0,2.159926,0.01717791411042945,0.02116564417177914,0.017484662576687116,14.822546972860126,0.9138071253237255,1.5000000000002345,1.7887444673306678,0.5907204971597146,59.992848,119.966849,3929.232589,2159,494,451,60.0,120.0
21,2026-03-08 14:28:09.287391,can_tapper30,"rgb(152,78,163)",504.0,449.0,507.0,10.912698412698413,95.0,98.75,2.028792012796011,1500,15.0,0.0,306.0,306.0,1.282623,-22.38047138047138,17.0,2.379249,0.011764705882352941,0.01797385620915033,0.012745098039215688,11.864406779661017,0.5313349579369434,1.0000000000001563,1.7887444673306678,0.4878351863874608,59.95303,119.895723,5784.914273,2159,412,563,60.0,120.0
22,2026-03-08 14:57:23.231667,can_tapper30,"rgb(255,127,0)",515.0,448.0,520.0,13.009708737864079,100.0,100.0,4.96359331715228,1500,17.418333333333333,0.0,378.0,378.0,1.070671,-11.188741721854305,132.0,2.16942,0.012433862433862434,0.017724867724867723,0.013756613756613757,7.822410147991543,0.6639492600886852,1.5000000000002345,61.00857412112184,0.3241456851618706,59.889403,119.942346,1753.944276,2160,326,499,60.0,120.0
23,2026-04-02 15:00:33.385433,can_tapper30,"rgb(255,255,51)",496.0,446.0,500.0,10.080645161290322,78.00000000000004,90.0,4.002446223308841,1500,14.075,16.5,339.0,322.5,1.235956,-28.108474576271185,135.0,2.335723,0.01364341085271318,0.015503875968992248,0.014883720930232557,9.322033898305085,0.7100587846168986,1.5000000000002345,2.4199454189414036,0.6278706299386025,59.945616,119.992726,2160190.153766,2160,408,629,60.0,120.0
24,2026-04-14 00:16:54.133304,can_tapper30,"rgb(166,86,40)",504.0,452.0,507.0,10.317460317460316,95.0,98.75,4.44444641975264,1500,15.040000000000001,,,,,,,,,,,6.693711967545639,1.1309422041477188,1.0000000000001563,5.948992616750902,0.6878618361865914,59.965524,119.94042,983780.747871,2160,0,557,60.0,120.0
25,2026-04-14 20:24:51.504002,can_tapper30,"rgb(247,129,191)",499.0,462.0,500.0,7.414829659318638,87.00000000000001,90.0,1.0572804699021432,1500,24.119999999999997,0.0,267.0,267.0,1.037777,-55.46545454545455,10.0,2.042775,0.009737827715355807,0.013857677902621723,0.010112359550561799,7.563025210084033,0.9428674735476922,0.5000000000000782,22.311464047271706,0.5474750003653706,59.967156,119.840575,72477.370698,2159,344,537,60.0,120.0
26,2026-04-14 21:07:45.353215,can_tapper30,"rgb(153,153,153)",510.0,458.0,511.0,10.196078431372548,100.0,100.0,0.9859204381863964,1500,21.3,0.0,392.0,392.0,0.651433,-18.614035087719298,24.0,2.149899,0.01173469387755102,0.013265306122448979,0.011989795918367347,5.172413793103448,0.8417150749103263,1.0000000000001563,2.565174071178317,0.636814129354699,59.946461,119.986648,2573.849213,2160,416,574,60.0,120.0
27,2026-04-15 09:12:36.435127,can_tapper30,"rgb(228,26,28)",467.0,440.0,479.0,5.781584582441114,40.0,44.68749999999998,2.8815568362469373,1500,14.458333333333332,52.0,198.0,146.0,1.014297,-53.21799307958477,94.0,2.011155,0.011643835616438355,0.018493150684931504,0.019863013698630135,3.111111111111111,0.699638257802953,0.26000000000004064,6.708616137836345,0.973939231711988,59.948974,119.961475,43491.081912,2159,430,658,60.0,120.0
28,2026-04-15 09:46:47.334342,can_tapper30,"rgb(55,126,184)",507.0,480.0,507.0,5.325443786982249,98.75,98.75,1.1704805202133388,1500,17.718333333333334,12.0,181.0,169.0,0.833651,-42.88030888030888,12.0,2.335226,0.01183431952662722,0.015976331360946748,0.01183431952662722,4.312114989733059,0.6084478188100672,0.5000000000000782,3.2620894576029285,0.734272444009039,59.963001,119.871381,2050.899215,2158,368,676,60.0,120.0
29,2026-04-15 10:06:54.113817,can_tapper30,"rgb(77,175,74)",505.0,473.0,507.0,6.336633663366337,96.25,98.75,1.5500006888890048,1500,19.55,0.0,234.0,234.0,0.550879,-25.517543859649123,17.0,2.54667,0.009401709401709401,0.013675213675213675,0.010256410256410256,5.785123966942149,0.6505518075883022,0.5000000000000782,3.2620894576029285,0.7564957103448066,59.859187,119.981718,1206.779475,2159,324,813,60.0,120.0
30,2026-04-15 13:07:33.067301,can_tapper30,"rgb(152,78,163)",500.0,479.0,501.0,4.2,90.0,91.25,4.147148509842983,1500,23.428571428571427,0.0,138.0,138.0,0.998749,-44.43514644351465,9.0,2.398218,0.012318840579710146,0.015217391304347827,0.013043478260869566,2.691511387163561,0.5358052705540856,0.020000000000003126,5.275382050040925,0.724390110366407,59.971006,119.960474,10838.953484,2160,352,561,60.0,120.0
31,2026-04-15 13:39:29.042418,can_tapper30,"rgb(255,127,0)",508.0,485.0,511.0,4.52755905511811,100.0,100.0,4.280526346900012,1500,24.35,7.0,128.0,121.0,1.009475,-9.581589958158995,34.0,2.013626,0.015702479338842973,0.019008264462809916,0.01818181818181818,3.067484662576687,0.425974675375784,0.020000000000003126,2.565174071178317,0.5050614784430263,59.976899,119.937744,1915.975117,2159,372,554,60.0,120.0
32,2026-04-15 18:56:09.165879,can_tapper30,"rgb(255,255,51)",496.0,465.0,497.0,6.25,78.00000000000004,81.00000000000004,9.606039824904935,1500,28.1,0.0,167.0,167.0,0.799799,-54.99586776859504,32.0,2.308402,0.016167664670658683,0.018562874251497004,0.016766467065868262,4.40251572327044,0.4756622470445384,0.5000000000000782,17.544825121425337,0.8117178329676151,59.934998,119.981192,19000.123461,2159,331,499,60.0,120.0
33,2026-04-15 20:27:03.419379,can_tapper30,"rgb(166,86,40)",496.0,465.0,497.0,6.25,78.00000000000004,81.00000000000004,8.077523590009228,1500,25.475,4.0,171.0,167.0,0.741719,-50.28888888888889,33.0,2.242976,0.011976047904191616,0.018562874251497004,0.012574850299401197,3.673469387755102,0.5615476006654951,0.5000000000000782,25.160402341872658,0.8261333916248631,59.861024,119.957101,5454.2535,2158,318,722,60.0,120.0
34,2026-04-22 14:39:51.829379,can_tapper30,"rgb(247,129,191)",495.0,438.0,499.0,11.515151515151516,75.58333333333339,87.00000000000001,7.544225575209892,1500,11.0,18.0,443.0,425.0,0.42207,-45.48874598070739,25.0,2.019542,0.0051764705882352945,0.013411764705882356,0.006117647058823529,10.359408033826638,2.031921384458632,1.5000000000002345,3.2620894576029285,0.8274815990791952,59.934475,119.975127,583968.41,2160,458,529,60.0,120.0
35,2026-04-22 15:37:50.173665,can_tapper30,"rgb(153,153,153)",495.0,444.0,499.0,10.303030303030303,75.58333333333339,87.00000000000001,5.35823349254765,1500,11.841666666666665,0.0,476.0,476.0,0.526933,-46.849624060150376,21.0,2.030029,0.0046218487394957975,0.010714285714285714,0.0054621848739495795,7.017543859649122,1.5997698639995939,1.0200000000001594,2.27471676670449,0.7723150176123648,59.781999,119.824075,3478.344286,2157,352,563,60.0,120.0
36,2026-05-06 09:27:42.121176,can_tapper30,"rgb(228,26,28)",495.0,445.0,494.0,10.1010101010101,75.58333333333339,73.16666666666671,3.433574859365841,1500,9.0,21.0,318.0,297.0,1.25638,-11.013029315960912,424.0,2.352864,0.01212121212121212,0.016835016835016835,0.011784511784511783,9.090909090909092,1.0898959453488475,1.0000000000001563,2.27471676670449,0.10732008016025352,59.812305,119.810789,1187391.947511,2157,441,496,60.0,120.0
37,2026-05-06 09:28:34.541937,can_tapper30,"rgb(55,126,184)",504.0,449.0,572.0,10.912698412698413,95.0,100.0,103.90201062309927,1500,11.0,21.0,424.0,403.0,1.055052,8.88659793814433,497.0,2.054734,0.010173697270471464,0.013647642679900745,0.02704714640198511,7.6923076923076925,0.9726283899576991,1.5000000000002345,119.99999999999996,0.2122939469789531,59.967241,119.918999,52.420761,2160,451,571,60.0,120.0
38,2026-05-06 09:29:42.877294,can_tapper30,"rgb(77,175,74)",515.0,453.0,574.0,12.03883495145631,100.0,100.0,87.9328479701409,1500,8.966666666666665,0.0,365.0,365.0,1.063371,23.96652719665272,497.0,2.161796,0.013424657534246574,0.016986301369863014,0.02958904109589041,8.403361344537815,0.8996848175099076,1.5000000000002345,28.37311996486042,0.3649138920243743,59.966698,119.840026,68.335357,2159,395,467,60.0,120.0
39,2026-05-06 09:50:01.944491,can_tapper30,"rgb(152,78,163)",496.0,448.0,499.0,9.67741935483871,78.00000000000004,87.00000000000001,1.1178938301750518,1500,9.1,0.0,321.0,321.0,1.21501,-25.076666666666668,27.0,2.214177,0.009034267912772585,0.014953271028037384,0.009968847352024924,7.758620689655173,0.9221619744597369,1.0000000000001563,2.27471676670449,0.6777194894765413,59.968583,119.921042,1219.067197,2160,419,602,60.0,120.0
40,2026-05-06 11:17:54.664972,can_tapper30,"rgb(255,127,0)",496.0,435.0,500.0,12.298387096774194,78.00000000000004,90.0,4.1180018302222825,1500,9.7125,0.0,457.0,457.0,0.517588,-18.221153846153847,20.0,2.019107,0.008315098468271335,0.013347921225382932,0.009190371991247264,12.663755458515285,1.8886762096298781,1.260000000000197,2.145932504474109,0.7397881312327457,59.883491,119.994531,5272.720481,2160,465,597,60.0,120.0
