start_index,start_time,can_tapper_id,start_color,V_pre_total_1_10V,V_min_total_1_10V,V_ocv_total_1_10V,V_drop_total_pct,soc_pct_est_pack,soc_pct_est_ocv_pack,V_ocv_slope_mV_per_s_max,n_ocv_samples_min,temp_avg_start_C,I_pre_A,I_load_A,delta_I_A,t_load_s,I_mean_post_A,I_max_post_A,t_charge_onset_s,R_internal_est_ohm_pack,R_internal_est_ohm_min_voltage_method_pack,R_internal_est_ohm_from_ocv_pack,max_abs_imbalance_pct_pack,mean_abs_imbalance_pct_pack,t_recovery_s_max,tau_relax_s_median,relax_fit_r2_min,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,t_before_s,t_after_s
79,2021-02-17 12:54:50.739246,can_tapper15,"rgb(247,129,191)",496.0,456.0,497.0,8.064516129032258,78.58333333333337,81.00000000000004,4.412670564137857,1295,,22.0,490.0,468.0,0.8121,-41.242990654205606,28.0,3.412338,0.007051282051282051,0.008547008547008548,0.007264957264957265,6.581740976645436,0.6373843643391762,0.5000000000000782,3.970067279908059,0.8461980052882997,28.923568,74.635949,82305.117586,1245,257,236,60.0,120.0
80,2021-02-17 12:57:16.655705,can_tapper15,"rgb(153,153,153)",500.0,462.0,505.0,7.6,88.25000000000001,96.25,11.863460124194518,1003,16.675,20.0,495.0,475.0,0.620711,-33.1981981981982,29.0,2.11935,0.008,0.008,0.009052631578947368,2.2494887525562373,0.8481077725102761,1.0000000000001563,4.178334463910163,0.8334799001977212,23.072871,119.992355,145.916459,1717,362,304,60.0,120.0
81,2021-02-17 15:32:43.401305,can_tapper15,"rgb(228,26,28)",505.0,470.0,509.0,6.9306930693069315,96.25,100.0,17.43192185630899,316,15.025,15.0,492.0,477.0,0.841696,-17.36936936936937,15.0,2.830683,0.007337526205450733,0.007337526205450733,0.008176100628930818,2.5,0.547184382355083,0.5000000000000782,2.7289468883321724,0.5714347124590934,9.33986,119.992647,9326.7456,1552,355,471,60.0,120.0
82,2021-02-18 10:04:19.444500,can_tapper15,"rgb(55,126,184)",492.0,454.0,492.0,7.723577235772358,68.33333333333339,68.33333333333339,8.322579955923269,884,15.65,0.0,496.0,496.0,0.628818,-37.916666666666664,23.0,2.127843,0.005241935483870968,0.007661290322580646,0.005241935483870968,3.930131004366812,0.7190620270792261,1.0000000000001563,3.077404581544478,0.3500366004498544,20.705079,78.61705,66696.043195,1194,237,272,60.0,120.0
83,2021-02-18 10:06:44.838757,can_tapper15,"rgb(77,175,74)",493.0,458.0,497.0,7.099391480730223,70.75000000000004,81.00000000000004,10.9979854021429,713,17.65,16.0,495.0,479.0,0.704404,-40.73780487804878,20.0,2.207379,0.007306889352818371,0.007306889352818371,0.008141962421711899,5.56701030927835,0.7113027198908349,0.5000000000000782,3.970067279908059,0.8554596897471648,17.265473,119.882352,145.394257,1647,347,391,60.0,120.0
84,2021-02-18 12:01:28.131250,can_tapper15,"rgb(152,78,163)",504.0,467.0,505.0,7.341269841269842,95.0,96.25,6.434526031389384,189,14.85,0.0,345.0,345.0,0.929204,-22.993846153846153,7.0,2.02395,0.008985507246376812,0.01072463768115942,0.00927536231884058,6.313645621181263,0.785333155973102,0.5000000000000782,2.583718236095259,0.6281906639889887,59.924244,119.81042,6883.292493,1723,386,436,60.0,120.0
85,2021-02-24 09:15:12.410914,can_tapper15,"rgb(255,127,0)",482.0,445.0,484.0,7.676348547717843,49.68749999999998,52.857142857142826,3.288522817667442,1242,12.75,22.0,496.0,474.0,0.624015,-68.7611111111111,114.0,2.031894,0.00780590717299578,0.00780590717299578,0.008227848101265823,2.3255813953488373,0.702657378049139,0.5000000000000782,3.678623825607137,0.8361145598729096,27.856343,64.960538,508424.279664,1116,231,208,60.0,120.0
86,2021-02-24 09:17:23.596843,can_tapper15,"rgb(255,255,51)",496.0,464.0,500.0,6.451612903225806,78.00000000000004,90.0,24.883940947389572,301,14.808333333333332,22.0,366.0,344.0,1.031675,-57.48543689320388,123.0,2.035501,0.005232558139534884,0.009302325581395349,0.006395348837209302,2.880658436213992,0.43441301175526686,0.5000000000000782,3.2620894576029285,0.7952446748708972,9.041546,119.822949,131.185929,1548,323,318,60.0,120.0
87,2021-03-04 10:31:14.387770,can_tapper15,"rgb(166,86,40)",480.0,423.0,481.0,11.875,46.24999999999997,47.90178571428569,3.7760016782222543,1500,14.375,0.0,493.0,493.0,0.645949,-70.42857142857143,146.0,2.042444,0.009330628803245436,0.011561866125760649,0.009533468559837728,12.10762331838565,0.8886384025418631,1.0000000000001563,3.678623825607137,0.820940448665872,59.859848,119.946431,695630.790927,2158,400,545,60.0,120.0
88,2021-03-04 10:47:17.115939,can_tapper15,"rgb(247,129,191)",496.0,448.0,500.0,9.67741935483871,78.00000000000004,90.0,4.788811017248344,1500,14.591666666666665,0.0,493.0,493.0,0.991104,-46.25552050473186,11.0,2.491691,0.008113590263691683,0.00973630831643002,0.008924949290060852,9.594882729211088,1.0019022595413052,0.7600000000001188,2.7289468883321724,0.7858738984458254,59.843794,119.787324,962.728169,2157,389,452,60.0,120.0
