block,cycle,discharge_ah,discharge_complete,discharge_coarse_sampling,charge_ah,charge_complete,charge_coarse_sampling,coulombic_eff_pct,status
6,9,6.90005802861111,True,False,6.8694296224999984,True,False,99.5561137894187,complete
6,10,6.951745097500001,True,False,6.929696825555555,True,False,99.68283831419,complete
7,1,,False,False,11.913716207777778,True,False,,in progress / fragment
7,2,8.951926759444445,True,False,9.640334279166666,True,False,107.69004861434928,complete
7,3,7.918295181388889,True,False,8.050836674722223,True,False,101.67386401109242,complete
7,4,6.848184211666666,True,False,6.819040794166667,True,False,99.57443584168851,complete
7,5,7.140089765833333,True,False,7.108715092222222,True,False,99.5605843254066,complete
7,6,6.892741167777778,True,False,6.867849379722221,True,False,99.63886953753723,complete
7,7,6.6541507575,True,False,6.626339767777777,True,False,99.58205050147268,complete
7,8,6.36879342777778,True,False,6.341643076666667,True,False,99.57369709947422,complete
7,9,6.703533287222223,True,False,6.666153789722221,True,False,99.44239111080046,complete
7,10,7.186802159722222,True,False,7.1549567213888885,True,False,99.55689000997121,complete
8,1,,False,False,10.374447549166666,True,False,,in progress / fragment
8,2,7.529511729166667,True,False,7.70238897361111,True,False,102.2959954199258,complete
8,3,6.591542549166666,True,False,6.579740026388889,True,False,99.82094444980456,complete
8,4,6.187163967500001,True,False,6.1608273719444435,True,False,99.57433493448859,complete
8,5,6.610301302777779,True,False,6.584735969166668,True,False,99.6132501010148,complete
8,6,6.005690058333333,True,False,5.975215144722222,True,False,99.49256599466327,complete
8,7,6.165085593333333,True,False,6.141046813888889,True,False,99.61008198376939,complete
8,8,5.986811518333333,True,False,5.954923599444444,True,False,99.46736390829678,complete
8,9,5.954015841111112,True,False,5.9200621975,True,False,99.42973541694884,complete
8,10,5.9576429711111105,True,False,5.920899395,True,False,99.38325313736856,complete
9,1,,False,False,8.920857286666665,True,False,,in progress / fragment
9,2,7.666957920555556,True,False,7.661090524444445,True,False,99.92347165366095,complete
9,3,7.619672671388888,True,False,7.600513860277778,True,False,99.74856123173048,complete
9,4,7.524909741111111,True,False,7.5058628955555555,True,False,99.7468827373238,complete
9,5,7.40893671361111,True,False,7.388844623888888,True,False,99.72881277707081,complete
9,6,7.300735385833333,True,False,7.276964432222222,True,False,99.67440329836859,complete
9,7,7.200045653055556,True,False,7.185817257777777,True,False,99.8023846519398,complete
9,8,7.136594316111111,True,False,7.115312003333332,True,False,99.70178614847515,complete
9,9,7.0392632025,True,False,7.018657772777778,True,False,99.7072786010487,complete
9,10,6.953803143333333,True,False,6.9291850183333334,True,False,99.64597610124179,complete
10,1,,False,False,7.881399764999999,True,False,,in progress / fragment
10,2,6.635594183055556,True,False,6.625485850833334,True,False,99.84766500266043,complete
10,3,6.441862385833335,True,False,6.4230235858333335,True,False,99.70755662149148,complete
10,4,6.277686091111111,True,False,6.258427717777777,True,False,99.6932249708917,complete
10,5,6.1507153191666655,True,False,6.126697430277778,True,False,99.60951063994064,complete
10,6,6.022927116111111,True,False,5.99752427611111,True,False,99.57823099117289,complete
10,7,5.913103197777778,True,False,5.885848378888889,True,False,99.539077570993,complete
10,8,5.815913005555555,True,False,5.788684992777777,True,False,99.531835968802,complete
10,9,5.7229159688888895,True,False,5.69671867111111,True,False,99.54223864337352,complete
10,10,5.651650450555555,True,False,5.630011549166666,True,False,99.61712243922017,complete
11,1,,False,False,6.922866153611111,True,False,,in progress / fragment
11,2,5.556166676388888,True,False,5.5418465225,True,False,99.7422655812371,complete
11,3,5.2605033147222215,True,False,5.243271200555555,True,False,99.67242461156826,complete
11,4,5.0578943163888885,True,False,5.033824152499999,True,False,99.52410702194992,complete
11,5,4.925740728611111,True,False,4.897415112777778,True,False,99.42494708118103,complete
11,6,4.847272706666667,True,False,4.820676673611111,True,False,99.45131964580871,complete
11,7,4.8039087233333335,True,False,4.776141263611112,True,False,99.4219819459235,complete
11,8,4.714562114722222,True,False,4.671946108888888,True,False,99.09607711604316,complete
11,9,4.5752545541666665,True,False,4.55818397111111,True,False,99.62689326127199,complete
11,10,4.527575804166666,True,False,4.496766101111111,True,False,99.31950994553858,complete
12,1,,False,False,6.033308027777776,True,False,,in progress / fragment
12,2,4.675805880277778,True,False,4.654630927222223,True,False,99.54713789242471,complete
12,3,4.374901363888889,True,False,4.345313628333333,True,False,99.32369365399234,complete
12,4,4.144425994444445,True,False,4.111571669999999,True,False,99.20726478193876,complete
12,5,3.986054442222222,True,False,3.9537809522222216,True,False,99.19033995978218,complete
12,6,3.8985940472222222,True,False,3.8661273861111107,True,False,99.16722129265435,complete
12,7,3.842367971111112,True,False,3.810176016944444,True,False,99.16218450682747,complete
12,8,3.8110585413888893,True,False,3.775565588611111,True,False,99.06868518569533,complete
12,9,3.7767655630555557,True,False,3.7438702486111106,True,False,99.12900830365994,complete
12,10,3.742907691388889,True,False,3.7065271091666663,True,False,99.0280128386302,complete
13,1,,False,False,5.440441631666666,True,False,,in progress / fragment
13,2,3.5830942638888885,True,False,3.5632898494444443,True,False,99.44728179093593,complete
13,3,3.209323541388889,True,False,3.1882261297222216,True,False,99.34262122859893,complete
13,4,2.9269989375,True,False,2.899950413333334,True,False,99.07589566158951,complete
13,5,2.7325726766666665,True,False,2.705713804444444,True,False,99.01708479882095,complete
13,6,2.5831132566666666,True,False,2.554941394444444,True,False,98.90938339039084,complete
13,7,2.4670248038888882,True,False,2.4383213811111113,True,False,98.83651665226347,complete
13,8,2.372891986388889,True,False,2.344149819722222,True,False,98.78872840266078,complete
13,9,2.2972868930555554,True,False,2.2673998402777777,True,False,98.699028281225,complete
13,10,2.228542292777778,True,False,2.2002472869444443,True,False,98.73033570307229,complete
14,1,,False,False,3.4004072880555554,True,False,,in progress / fragment
14,2,2.5842157111111113,True,False,2.5579451147222225,True,False,98.98342091660787,complete
14,3,2.3264317738888893,True,False,2.29781486,True,False,98.7699224963278,complete
14,4,2.1589271611111114,True,False,2.131087096111111,True,False,98.71046761088168,complete
14,5,2.0458410466666668,True,False,2.018707146666667,True,False,98.67370438948765,complete
14,6,1.9634521525000002,True,False,1.9356907002777777,True,False,98.58608969987506,complete
14,7,1.9026743355555558,True,False,1.8744227058333334,True,False,98.5151620960939,complete
14,8,1.8581840586111111,True,False,1.8291546019444447,True,False,98.43775128022763,complete
14,9,1.8237703169444444,True,False,1.794509748611111,True,False,98.39560014430124,complete
14,10,1.796089536388889,True,False,1.767662484444444,True,False,98.41728091119563,complete
15,1,,False,False,2.5352350424999996,True,False,,in progress / fragment
15,2,2.031470526666667,True,False,2.0042072075,True,False,98.65795152778308,complete
15,3,1.8832537669444442,True,False,1.8557963700000002,True,False,98.54202352192858,complete
15,4,1.7780717488888889,True,False,1.7489091941666668,True,False,98.35987750548055,complete
15,5,1.6990596947222223,True,False,1.6703823644444442,True,False,98.31216464219249,complete
15,6,1.6284352944444442,True,False,1.5983866494444445,True,False,98.15475351691815,complete
15,7,1.5761333366666668,True,False,1.5460366922222222,True,False,98.09047599309743,complete
15,8,1.5258526758333333,True,False,1.4979893791666667,True,False,98.17391959866313,complete
15,9,1.4880362508333331,True,False,1.4593579905555554,True,False,98.07274451400512,complete
15,10,1.4602104655555557,True,False,1.4321776197222222,True,False,98.0802188112884,complete
16,1,,False,False,1.8117646875,True,False,,in progress / fragment
16,2,1.5056967527777776,True,False,1.4784335538888889,True,False,98.18933003351489,complete
16,3,1.4211732002777777,True,False,1.3955331280555556,True,False,98.19585169371258,complete
16,4,1.3636812380555554,True,False,1.336407376388889,True,False,97.99998262749764,complete
16,5,1.3193107863888889,True,False,1.2926755233333334,True,False,97.9811229218811,complete
16,6,1.2775257980555554,True,False,1.2521368080555555,True,False,98.01264365552203,complete
16,7,1.2452626688888888,True,False,1.2194960158333332,True,False,97.9308258651529,complete
16,8,1.2246256419444443,True,False,1.1999272719444445,True,False,97.98319019673767,complete
16,9,1.2029826808333335,True,False,1.1775664519444444,True,False,97.88723235223281,complete
16,10,1.189641010277778,True,False,1.1640648219444445,True,False,97.85009190904057,complete
17,1,,False,False,2.3637893191666666,True,False,,in progress / fragment
17,2,1.7597321766666667,True,False,1.73156882,True,False,98.39956573846284,complete
17,3,1.5524291058333335,True,False,1.5256740102777777,True,False,98.2765657088609,complete
17,4,1.4233407925,True,False,1.3968588080555557,True,False,98.1394487824711,complete
17,5,1.3429759741666667,True,False,1.3158015591666667,True,False,97.97655240877545,complete
17,6,1.2834435430555555,True,False,1.2572742655555553,True,False,97.96101062320997,complete
17,7,1.225497911388889,True,False,1.197835322777778,True,False,97.74274698030612,complete
17,8,1.17627339,True,False,1.1501658272222224,True,False,97.78048513213604,complete
17,9,1.1490991005555555,True,False,1.123301781388889,True,False,97.75499613965461,complete
17,10,1.1160505316666667,True,False,1.089385996388889,True,False,97.6108129048639,complete
18,1,,False,False,2.205174876666667,True,False,,in progress / fragment
18,2,1.6631130294444443,True,False,1.6326778366666665,True,False,98.16998651090212,complete
18,3,1.4633259305555557,True,False,1.4351088827777776,True,False,98.0717181874126,complete
18,4,1.3463463599999999,True,False,1.3181133908333333,True,False,97.90299361253024,complete
18,5,1.2575473577777778,True,False,1.230562664722222,True,False,97.85418076793222,complete
18,6,1.1955390127777779,True,False,1.1695638919444447,True,False,97.82732971858599,complete
18,7,1.1521119969444449,True,False,1.1253490463888887,True,False,97.67705304462282,complete
18,8,1.1131260811111112,True,False,1.0882398688888888,True,False,97.76429529012731,complete
18,9,1.0792813769444445,True,False,1.054662346388889,True,False,97.71894233686727,complete
18,10,1.0635119916666667,True,False,1.0384753133333333,True,False,97.64584898623498,complete
19,1,,False,False,1.3395206630555554,True,False,,in progress / fragment
19,2,1.0450280980555555,True,False,1.0203942658333334,True,False,97.64275886284231,complete
19,3,0.9900711413888889,True,False,0.9685743950000001,True,False,97.82876750061286,complete
19,4,0.9491193266666665,True,False,0.9275158308333334,True,False,97.72383774870488,complete
19,5,0.9078832702777777,True,False,0.8847736963888888,True,False,97.45456551018742,complete
19,6,0.8786555655555556,True,False,0.8554895163888889,True,False,97.36346640540322,complete
19,7,0.8516326511111111,True,False,0.8292764836111112,True,False,97.37490484062205,complete
19,8,0.8350174477777779,True,False,0.80816104,True,False,96.78373094487421,complete
19,9,0.8061601322222222,True,False,0.7834552416666667,True,False,97.1835756138215,complete
19,10,0.7947454180555554,True,False,0.7721996191666669,True,False,97.16314201042522,complete
20,1,,False,False,2.3352102525,True,False,,in progress / fragment
20,2,1.6513805819444447,True,False,1.6237551227777776,True,False,98.3271294655688,complete
20,3,1.4136744144444444,True,False,1.386739740277778,True,False,98.0947045591646,complete
20,4,1.277943986388889,True,False,1.2516287958333336,True,False,97.9408181551122,complete
20,5,1.1875041455555555,True,False,1.160568048888889,True,False,97.73170504141146,complete
20,6,1.1108654325,True,False,1.0862072480555556,True,False,97.78027259440856,complete
20,7,1.0556048713888888,True,False,1.029772703611111,True,False,97.5528563311962,complete
20,8,1.0025392227777776,True,False,0.9781152605555555,True,False,97.56378985806165,complete
20,9,0.965978943611111,True,False,0.9401935258333333,True,False,97.33064390809758,complete
20,10,0.9357021200000001,True,False,0.9108493455555556,True,False,97.34394377086113,complete
