battery_id,block,ocv_label_V,kind,timestamp,filename,rest_baseline_Vmean,ocv_window_Vpre,wakeup_load_1_sag_V,wakeup_load_1_R_int_mohm,wakeup_load_2_sag_V,wakeup_load_2_R_int_mohm,glow_plug_like_load_1_Vmean,driving_aux_load_1_V_mean,driving_aux_load_1_V_std,driving_aux_load_1_R_int_est_mohm,ramp_like_load_1_V_mean,ramp_like_load_1_V_std,ramp_like_load_1_R_int_est_mohm,crank_cold_V_pre,crank_cold_V_min,crank_cold_I_peak_A,crank_cold_V_sustained,crank_cold_R_int_apparent_mohm,crank_hot_V_pre,crank_hot_V_min,crank_hot_I_peak_A,crank_hot_V_sustained,crank_hot_R_int_apparent_mohm,recovery_after_cold_V_plus30s,recovery_after_hot_V_plus30s,alternator_charge_after_cold_Ah,alternator_charge_after_cold_ratio_pct,total_ah_discharged,total_ah_charged,run_duration_s,n_events,min_voltage,final_voltage,recovery_after_evt6_V_plus30s,alternator_charge_after_evt7_Ah,alternator_charge_after_evt7_ratio_pct,crank_1_V_pre,crank_1_V_min,crank_1_I_peak_A,crank_1_V_sustained,crank_1_R_int_apparent_mohm,recovery_after_1_V_plus30s,alternator_charge_after_1_Ah,alternator_charge_after_1_ratio_pct,recovery_after_evt12_V_plus30s,block_c5_capacity_ah,block_c5_reached_cutoff,cutoff_hit,soc_pct
ul18_12_unit2,11,12.54,Block,2026-07-27 06:32:20.954025,Block_11_OCV12p54V_testday_bdps_2026-07-27_06-32-19.csv,12.534895115681232,12.534979949874687,2.3315655806182143,1164.1554527057324,-1.3441466577540098,-2558.3770153081978,10.20239420935412,10.354848788638263,0.5358099657337704,236.96644200663425,10.986842105263158,0.965781659157229,1023.2007499301261,10.197799999999999,10.193,1.41,10.1966,3.4042553191485614,12.5052,10.201,3.141,10.197,733.588029290035,12.46,12.502,0.19462749222222228,178.41674682861276,0.2906031819444444,0.19462749222222228,2065.153,13,9.793,12.527,,,,,,,,,,,,,6.038468088333333,True,False,92.0
ul18_12_unit2,12,13.56,Block,2026-07-28 08:49:57.526978,Block_12_OCV13p56V_testday_bdps_2026-07-28_08-49-56.csv,13.511842287917737,13.477982456140357,0.15510025062656396,474.36844135900304,-0.07280821917808211,-652.2721694414007,13.29938795986622,13.412980222841224,0.1312729487519993,2661.288278683288,13.314859649122807,0.015509568584308863,92.79429058360996,13.276999999999997,13.277,0.33,13.276999999999997,-5.382899513334093e-12,13.41,13.377,0.33,13.3672,99.9999999999984,13.377,13.41,0.027616456111111038,138.2027011758464,0.03952852972222222,0.027616456111111038,2065.16,13,13.277,13.418,,,,,,,,,,,,,4.98854184,True,False,100.0
ul18_12_unit2,12,12.69,Block,2026-07-28 10:45:50.718291,Block_12_OCV12p69V_testday_bdps_2026-07-28_10-45-49.csv,12.69693791773779,12.702000000000002,2.4516946564885487,639.5223563059384,-1.576467936076165,-1381.806580133234,10.202746606334841,10.48728919071873,0.6482752098617555,216.66743189501653,10.98124427480916,0.9958186200532857,731.9909344980321,10.1982,10.193,2.526,10.198052631578948,2.058590657165604,12.643,10.201,6.278,10.1966,388.9773813316343,12.618,12.643,0.19517468249999992,89.24244789652487,0.45318442361111094,0.19517468249999992,2065.182,13,9.943,12.652,,,,,,,,,,,,,4.98854184,True,False,100.0
ul18_12_unit2,12,12.67,Block,2026-07-28 11:24:19.214977,Block_12_OCV12p67V_testday_bdps_2026-07-28_11-24-18.csv,12.677034833659489,12.684999999999999,2.4572721868365193,762.2364155811999,-1.516704823369567,-1639.7079857738563,10.202743473325766,10.401759751271905,0.6035890835144958,260.38789619966934,10.751728205128208,0.7761493763011575,530.4347203581839,10.196200000000001,10.193,2.336,10.197,1.3698630136992398,12.630200000000002,10.201,4.505,10.196789473684213,539.2230854605997,12.585,12.627,0.1951636988888889,107.2949792898147,0.39674378277777755,0.1951636988888889,2065.178,13,9.893,12.652,,,,,,,,,,,,,4.98854184,True,False,99.0
ul18_12_unit2,12,12.65,Block,2026-07-28 12:02:48.592793,Block_12_OCV12p65V_testday_bdps_2026-07-28_12-02-47.csv,12.656373609314358,12.659999999999998,2.445879083580822,834.2925028194761,-1.433224915139169,-1695.650756104757,10.202811791383219,10.40754799548278,0.610899009227458,256.5850351445242,10.750251282051282,0.7543095592767635,554.6140770867131,10.197400000000002,10.193,2.199,10.197631578947368,2.000909504321137,12.617999999999999,10.201,3.54,10.1966,682.7683615819203,12.552,12.61,0.1950758408333332,118.4019124678279,0.3746755911111115,0.1950758408333332,2065.187,13,9.86,12.643,,,,,,,,,,,,,4.98854184,True,False,98.0
ul18_12_unit2,12,12.64,Block,2026-07-28 12:41:24.074871,Block_12_OCV12p64V_testday_bdps_2026-07-28_12-41-23.csv,12.639221525600837,12.642755725190842,2.43927813163482,957.2199579653051,-1.3107367312266405,-1662.4331309394584,10.20243374858437,10.408845544554456,0.6105647756864158,251.4721383613126,10.789739240506329,0.7848929010901433,633.1685481084753,10.197,10.193,2.055,10.197399999999998,1.9464720194645055,12.6024,10.193,3.337,10.199,722.0257716511835,12.535,12.593,0.19479519111111113,132.42670592985303,0.3526024269444444,0.19479519111111113,2065.161,13,9.876,12.635,,,,,,,,,,,,,4.98854184,True,False,97.0
ul18_12_unit2,12,12.63,Block,2026-07-28 13:19:53.435491,Block_12_OCV12p63V_testday_bdps_2026-07-28_13-19-52.csv,12.630287403598972,12.627300751879698,2.4249902255639153,1022.51869856409,-1.2124064839572224,-1632.5399975697721,10.20247661469933,10.399255917571706,0.5994483525984184,249.04735366807645,10.76210275689223,0.7549152067556301,630.2843212976578,10.1966,10.193,1.927,10.198199999999998,1.8681888946551592,12.592999999999998,10.201,3.206,10.1978,746.1010605115401,12.51,12.585,0.19445029277777773,141.5171385453146,0.3375565269444441,0.19445029277777773,2065.156,13,9.86,12.627,,,,,,,,,,,,,4.98854184,True,False,97.0
ul18_12_unit2,12,12.62,Block,2026-07-28 13:58:22.808842,Block_12_OCV12p62V_testday_bdps_2026-07-28_13-58-21.csv,12.620476735218507,12.617999999999997,2.416882205513783,1096.9834176986953,-1.121941577540106,-1603.9178061508721,10.20224053452116,10.396389028125869,0.5956312442227333,247.4379284951958,10.75352380952381,0.7428531758778468,645.312608628711,10.196200000000001,10.193,1.803,10.1966,1.7748197448704515,12.585000000000003,10.193,3.118,10.1966,767.1584348941639,12.493,12.577,0.19417622749999996,151.39967271168285,0.32436091555555546,0.19417622749999996,2065.192,13,9.843,12.61,,,,,,,,,,,,,4.98854184,True,False,96.0
ul18_12_unit2,12,12.61,Block,2026-07-28 14:36:53.239119,Block_12_OCV12p61V_testday_bdps_2026-07-28_14-36-52.csv,12.610000000000003,12.609999999999998,2.4093318010865072,1155.5281870801223,-1.0517064483795497,-1577.7370559703718,10.202279821627647,10.393104149262042,0.5912564994431067,246.28423120573473,10.744593984962403,0.7310223970072499,657.5733931439468,10.197799999999999,10.193,1.708,10.1982,2.8103044496484024,12.577,10.201,3.013,10.1978,788.5828078327247,12.477,12.56,0.1938502208333334,159.51605003106658,0.31373607166666645,0.1938502208333334,2065.154,13,9.835,12.602,,,,,,,,,,,,,4.98854184,True,False,95.0
ul18_12_unit2,12,12.59,Block,2026-07-28 15:15:26.646595,Block_12_OCV12p59V_testday_bdps_2026-07-28_15-15-25.csv,12.601089705693356,12.602000000000004,2.402040517961572,1234.405143107009,-0.9699132352941149,-1529.5695408045167,10.201959910913141,10.391204956836534,0.5881362406624453,244.90837077893394,10.739704260651628,0.7230587199793927,677.0301422532958,10.1966,10.193,1.626,10.198599999999999,2.214022140221705,12.568000000000001,10.201,2.928,10.197000000000001,808.4016393442625,12.46,12.56,0.1935557702777778,169.30681570703845,0.30315728888888926,0.1935557702777778,2065.156,13,9.793,12.602,,,,,,,,,,,,,4.98854184,True,False,95.0
