start_index,start_time,group,V_pre_1_10V,V_min_1_10V,V_drop_pct,soc_pct_est,R_internal_est_ohm,t_recovery_s,max_abs_imbalance_pct,mean_abs_imbalance_pct,temp_avg_start_C,R_int_mohm,V_pre_V,V_min_V
3,2021-12-03 07:51:05.295463,PG1_est,121.0,108.0,10.743801652892564,52.857142857142826,0.0026315789473684,1.0000000000000009,4.212860310421286,1.1211656960957843,17.303571428571427,2.6315789473684004,12.1,10.8
3,2021-12-03 07:51:05.295463,PG2,121.0,107.0,11.570247933884298,52.857142857142826,0.0028340080971659,1.0100000000000011,5.099778270509978,1.4245379342733375,17.303571428571427,2.8340080971659,12.1,10.7
3,2021-12-03 07:51:05.295463,PG3_est,121.0,111.0,8.264462809917356,52.857142857142826,0.0020242914979757,1.0000000000000009,4.656319290465632,1.2137508673874504,17.303571428571427,2.0242914979756996,12.1,11.1
3,2021-12-03 07:51:05.295463,PG4,121.0,111.0,8.264462809917356,52.857142857142826,0.0020242914979757,1.0000000000000009,4.656319290465632,1.2137508673874504,17.303571428571427,2.0242914979756996,12.1,11.1
4,2021-12-03 07:54:37.632662,PG1_est,123.0,113.0,8.130081300813007,68.33333333333339,0.0020325203252032,1.250000000000001,4.237288135593221,0.9188719327925752,17.205000000000002,2.0325203252032003,12.3,11.3
4,2021-12-03 07:54:37.632662,PG2,124.0,113.0,8.870967741935484,78.00000000000004,0.0022357723577235,1.0000000000000009,4.237288135593221,1.1998602441699395,17.205000000000002,2.2357723577235,12.4,11.3
4,2021-12-03 07:54:37.632662,PG3_est,123.0,112.0,8.94308943089431,68.33333333333339,0.0022357723577235,1.000000000000001,4.237288135593221,0.8326493414530405,17.205000000000002,2.2357723577235,12.3,11.2
4,2021-12-03 07:54:37.632662,PG4,123.0,112.0,8.94308943089431,68.33333333333339,0.0022357723577235,1.000000000000001,4.237288135593221,0.8326493414530405,17.205000000000002,2.2357723577235,12.3,11.2
5,2021-12-06 08:12:36.206141,PG1_est,121.0,110.0,9.090909090909092,52.857142857142826,0.0022357723577235,0.06,8.444444444444445,1.6071739578767823,15.4,2.2357723577235,12.1,11.0
5,2021-12-06 08:12:36.206141,PG2,122.0,110.0,9.836065573770492,60.0,0.0024390243902439,1.5000000000000016,8.444444444444445,0.7770666520917304,15.4,2.4390243902438997,12.2,11.0
5,2021-12-06 08:12:36.206141,PG3_est,121.0,109.0,9.917355371900827,52.857142857142826,0.0024390243902439,1.0000000000000009,3.111111111111111,0.650323865957056,15.4,2.4390243902438997,12.1,10.9
5,2021-12-06 08:12:36.206141,PG4,121.0,109.0,9.917355371900827,52.857142857142826,0.0024390243902439,1.0000000000000009,3.111111111111111,0.650323865957056,15.4,2.4390243902438997,12.1,10.9
6,2021-12-06 08:18:14.808642,PG1_est,124.0,106.0,14.516129032258066,78.00000000000004,0.0037037037037037,0.5000000000000004,8.423326133909287,1.9056454988335256,15.506666666666666,3.7037037037036997,12.4,10.6
6,2021-12-06 08:18:14.808642,PG2,125.0,112.0,10.4,90.0,0.0026748971193415,1.0000000000000009,6.013363028953229,1.0792122124983472,15.506666666666666,2.6748971193415,12.5,11.2
6,2021-12-06 08:18:14.808642,PG3_est,125.0,112.0,10.4,90.0,0.0026748971193415,1.5000000000000016,2.8077753779697625,0.9076311366934328,15.506666666666666,2.6748971193415,12.5,11.2
6,2021-12-06 08:18:14.808642,PG4,125.0,112.0,10.4,90.0,0.0026748971193415,1.5000000000000016,2.8077753779697625,0.9076311366934328,15.506666666666666,2.6748971193415,12.5,11.2
7,2021-12-06 08:50:50.269040,PG1_est,122.0,105.0,13.934426229508196,60.0,0.0034764826175869,0.5100000000000002,12.0,1.0594055548879746,15.379166666666668,3.4764826175869,12.2,10.5
7,2021-12-06 08:50:50.269040,PG2,121.0,110.0,9.090909090909092,52.857142857142826,0.0022494887525562,1.0000000000000009,7.368421052631579,0.8422470469349363,15.379166666666668,2.2494887525562,12.1,11.0
