timestamp,voltage,current,temperature,humidity
2026-08-03T09:37:21.298536,13.33,9.88,23.2,52.3
2026-08-03T09:37:21.370999,13.33,9.88,23.2,52.3
2026-08-03T09:37:21.543974,13.33,9.88,23.2,52.3
2026-08-03T09:37:21.613852,13.33,9.9,23.2,52.3
2026-08-03T09:37:21.683413,13.33,9.89,23.2,52.3
2026-08-03T09:37:21.756011,13.33,9.9,23.2,52.3
2026-08-03T09:37:21.826432,13.33,9.91,23.2,52.3
2026-08-03T09:37:21.896267,13.33,9.88,23.2,52.3
2026-08-03T09:37:21.966089,13.33,9.89,23.2,52.3
2026-08-03T09:37:22.038558,13.33,9.9,23.2,52.3
2026-08-03T09:37:22.108915,13.33,9.89,23.2,52.3
2026-08-03T09:37:22.179124,13.33,9.88,23.2,52.3
2026-08-03T09:37:22.248473,13.33,9.88,23.2,52.3
2026-08-03T09:37:22.321058,13.33,9.88,23.2,52.3
2026-08-03T09:37:22.391405,13.33,9.89,23.2,52.3
2026-08-03T09:37:22.564140,13.33,9.87,23.2,52.3
2026-08-03T09:37:22.633560,13.33,9.87,23.2,52.3
2026-08-03T09:37:22.706287,13.33,9.87,23.2,52.3
2026-08-03T09:37:22.776567,13.33,9.88,23.2,52.3
2026-08-03T09:37:22.846541,13.33,9.89,23.2,52.3
2026-08-03T09:37:22.916265,13.33,9.88,23.2,52.3
2026-08-03T09:37:22.988782,13.33,9.9,23.2,52.3
2026-08-03T09:37:23.059058,13.33,9.9,23.2,52.3
2026-08-03T09:37:23.129245,13.33,9.9,23.2,52.3
2026-08-03T09:37:23.199004,13.33,9.91,23.2,52.3
2026-08-03T09:37:23.271273,13.33,9.89,23.2,52.3
2026-08-03T09:37:23.341634,13.33,9.89,23.2,52.3
2026-08-03T09:37:23.411924,13.33,9.88,23.2,52.3
2026-08-03T09:37:23.583918,13.33,9.88,23.2,52.3
2026-08-03T09:37:23.656390,13.33,9.9,23.2,52.3
2026-08-03T09:37:23.726837,13.33,9.91,23.2,52.3
2026-08-03T09:37:23.796804,13.33,9.89,23.2,52.3
2026-08-03T09:37:23.866346,13.33,9.89,23.2,52.3
2026-08-03T09:37:23.938938,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.009252,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.079591,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.149011,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.221458,13.33,9.91,23.2,52.3
2026-08-03T09:37:24.291738,13.33,9.9,23.2,52.3
2026-08-03T09:37:24.362082,13.33,9.9,23.2,52.3
2026-08-03T09:37:24.431533,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.606558,13.33,9.91,23.2,52.3
2026-08-03T09:37:24.676888,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.747154,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.816718,13.33,9.9,23.2,52.3
2026-08-03T09:37:24.889042,13.33,9.89,23.2,52.3
2026-08-03T09:37:24.959348,13.33,9.9,23.2,52.3
2026-08-03T09:37:25.029717,13.33,9.89,23.2,52.3
2026-08-03T09:37:25.099205,13.33,9.9,23.2,52.3
2026-08-03T09:37:25.171523,13.33,9.89,23.2,52.3
2026-08-03T09:37:25.241859,13.33,9.89,23.2,52.3
2026-08-03T09:37:25.312148,13.33,9.89,23.2,52.3
2026-08-03T09:37:25.381724,13.33,9.9,23.2,52.3
2026-08-03T09:37:25.451652,13.33,9.87,23.2,52.3
2026-08-03T09:37:25.626881,13.33,9.86,23.2,52.3
2026-08-03T09:37:25.697327,13.33,9.87,23.2,52.3
2026-08-03T09:37:25.767017,13.33,9.87,23.2,52.3
2026-08-03T09:37:25.839154,13.33,9.88,23.2,52.3
2026-08-03T09:37:25.909353,13.33,9.9,23.2,52.3
2026-08-03T09:37:25.979923,13.33,9.87,23.2,52.3
