start_index,start_time,can_tapper_id,window_start,window_end,temp_avg_start_C,pre_data_duration_s,post_data_duration_s,t_since_previous_start_s,n_voltage_samples,n_current_samples,n_temperature_samples,FILE_NAME_ORIGIN
29,2022-09-14 13:06:30.064608,can_tapper14,2022-09-14 13:05:30.064608,2022-09-14 13:08:30.064608,17.3,59.957001,119.917296,83829.986098,1770,332,638,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-14-12-48-07.pcap.gz
30,2022-09-14 13:10:59.026898,can_tapper14,2022-09-14 13:09:59.026898,2022-09-14 13:12:59.026898,17.375,59.960284,119.878391,268.96229,2158,451,756,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-14-13-08-11.pcap.gz
31,2022-09-15 20:33:21.740441,can_tapper14,2022-09-15 20:32:21.740441,2022-09-15 20:35:21.740441,16.555,59.884146,119.953921,112942.713543,2158,401,684,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-15-19-46-54.pcap.gz
32,2022-09-15 20:34:09.347495,can_tapper14,2022-09-15 20:33:09.347495,2022-09-15 20:36:09.347495,16.625,59.978325,119.976818,47.607054,2160,436,712,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-15-19-46-54.pcap.gz
33,2022-09-19 13:36:15.014461,can_tapper14,2022-09-19 13:35:15.014461,2022-09-19 13:38:15.014461,12.175,59.87362,119.970339,320525.666966,2158,433,894,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-19-13-31-27.pcap.gz
34,2022-09-19 21:11:55.552536,can_tapper14,2022-09-19 21:10:55.552536,2022-09-19 21:13:55.552536,16.067857142857143,59.991454,119.910025,27340.538075,2159,441,752,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-19-20-31-28.pcap.gz
35,2022-09-20 10:41:17.728704,can_tapper14,2022-09-20 10:40:17.728704,2022-09-20 10:43:17.728704,14.675,59.972405,119.882784,48562.176168,2159,429,683,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-09-58-40.pcap.gz
36,2022-09-20 11:07:02.953567,can_tapper14,2022-09-20 11:06:02.953567,2022-09-20 11:09:02.953567,15.275,59.882022,119.980055,1545.224863,2158,345,749,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-10-58-40.pcap.gz
37,2022-09-20 12:05:34.571076,can_tapper14,2022-09-20 12:04:34.571076,2022-09-20 12:07:34.571076,14.25,59.88081,119.98565,3511.617509,2159,365,502,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-11-58-40.pcap.gz
38,2022-09-20 15:30:02.912166,can_tapper14,2022-09-20 15:29:02.912166,2022-09-20 15:32:02.912166,20.466666666666665,59.869032,119.968343,12268.34109,2160,363,494,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-15-01-45.pcap.gz
39,2022-09-20 15:46:25.657131,can_tapper14,2022-09-20 15:45:25.657131,2022-09-20 15:48:25.657131,18.145,59.940981,119.976874,982.744965,2160,472,270,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-15-01-45.pcap.gz
40,2022-09-20 15:48:02.402678,can_tapper14,2022-09-20 15:47:02.402678,2022-09-20 15:50:02.402678,18.175,59.902448,119.8976,96.745547,2158,419,267,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-15-01-45.pcap.gz
41,2022-09-20 15:58:47.776595,can_tapper14,2022-09-20 15:57:47.776595,2022-09-20 16:00:47.776595,15.85,59.998386,119.884301,645.373917,2158,405,527,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-20-15-01-45.pcap.gz
42,2022-09-21 07:12:31.519329,can_tapper14,2022-09-21 07:11:31.519329,2022-09-21 07:14:31.519329,16.05833333333333,59.967473,119.846682,54823.742734,2158,415,785,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-06-37-04.pcap.gz
43,2022-09-21 07:22:11.862033,can_tapper14,2022-09-21 07:21:11.862033,2022-09-21 07:24:11.862033,15.76,59.927256,119.970922,580.342704,2160,444,449,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-06-37-04.pcap.gz
44,2022-09-21 09:49:28.249550,can_tapper14,2022-09-21 09:48:28.249550,2022-09-21 09:51:28.249550,15.225,59.959428,119.898,8836.387517,2159,353,656,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-09-37-04.pcap.gz
45,2022-09-21 11:35:38.179476,can_tapper14,2022-09-21 11:34:38.179476,2022-09-21 11:37:38.179476,16.75,59.929827,119.918899,6369.929926,2159,434,567,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-10-37-04.pcap.gz
46,2022-09-21 15:50:04.976418,can_tapper14,2022-09-21 15:49:04.976418,2022-09-21 15:52:04.976418,18.8,59.983177,119.895166,15266.796942,2159,365,612,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-15-37-04.pcap.gz
47,2022-09-21 16:29:02.153392,can_tapper14,2022-09-21 16:28:02.153392,2022-09-21 16:31:02.153392,19.675,59.938811,119.946791,2337.176974,2160,440,519,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-21-15-37-04.pcap.gz
48,2022-09-22 07:00:46.564403,can_tapper14,2022-09-22 06:59:46.564403,2022-09-22 07:02:46.564403,16.05,59.960574,119.9185,52304.411011,2159,413,759,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-22-06-38-55.pcap.gz
49,2022-09-22 09:13:16.688772,can_tapper14,2022-09-22 09:12:16.688772,2022-09-22 09:15:16.688772,15.998333333333335,59.90685,119.95495,7950.124369,2158,364,632,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-22-08-38-55.pcap.gz
50,2022-09-22 10:45:17.859676,can_tapper14,2022-09-22 10:44:17.859676,2022-09-22 10:47:17.859676,17.416666666666668,59.887749,119.964429,5521.170904,2158,381,526,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-22-10-38-55.pcap.gz
51,2022-09-22 13:15:39.281333,can_tapper14,2022-09-22 13:14:39.281333,2022-09-22 13:17:39.281333,18.366666666666667,59.900305,119.993991,9021.421657,2158,414,654,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-22-12-38-55.pcap.gz
52,2022-09-22 16:44:20.172127,can_tapper14,2022-09-22 16:43:20.172127,2022-09-22 16:46:20.172127,20.275,59.932306,103.17821,12520.890794,1959,218,176,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20220927\can_Tapper14-09-22-16-38-55.pcap.gz
53,2022-10-11 13:27:46.108467,can_tapper14,2022-10-11 13:26:46.108467,2022-10-11 13:29:46.108467,11.0,0.891811,119.946671,1629805.93634,1452,343,510,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-11-13-27-44.pcap.gz
54,2022-10-11 14:11:13.008371,can_tapper14,2022-10-11 14:10:13.008371,2022-10-11 14:13:13.008371,11.091666666666665,59.833247,119.840606,2606.899904,2157,429,733,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-11-13-27-44.pcap.gz
55,2022-10-13 10:11:24.147987,can_tapper14,2022-10-13 10:10:24.147987,2022-10-13 10:13:24.147987,10.708333333333334,35.257424,119.862593,158411.139616,1863,354,488,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-13-10-10-48.pcap.gz
56,2022-10-13 11:41:33.902046,can_tapper14,2022-10-13 11:40:33.902046,2022-10-13 11:43:33.902046,14.575,59.956682,119.941441,5409.754059,2159,400,458,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-13-11-10-48.pcap.gz
57,2022-10-13 13:14:49.587936,can_tapper14,2022-10-13 13:13:49.587936,2022-10-13 13:16:49.587936,10.65,33.619441,119.968721,5595.68589,1845,351,493,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-13-13-14-15.pcap.gz
58,2022-10-20 10:09:42.872308,can_tapper14,2022-10-20 10:08:42.872308,2022-10-20 10:11:42.872308,10.283333333333335,59.85316,119.80987,593693.284372,2157,437,642,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-20-10-07-53.pcap.gz
59,2022-10-20 12:59:15.907975,can_tapper14,2022-10-20 12:58:15.907975,2022-10-20 13:01:15.907975,11.191666666666666,59.953955,119.92998,10173.035667,2158,487,606,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-20-12-07-53.pcap.gz
60,2022-10-31 09:43:51.268810,can_tapper14,2022-10-31 09:42:51.268810,2022-10-31 09:45:51.268810,11.55,59.872067,119.972581,938675.360835,2159,476,608,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-10-31-09-41-42.pcap.gz
61,2022-11-01 08:29:30.677386,can_tapper14,2022-11-01 08:28:30.677386,2022-11-01 08:31:30.677386,15.65,0.470669,119.888039,81939.408576,1446,349,508,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-01-08-29-30.pcap.gz
62,2022-11-01 08:42:29.537462,can_tapper14,2022-11-01 08:41:29.537462,2022-11-01 08:44:29.537462,13.633333333333335,59.973124,119.86793,778.860076,2158,426,492,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-01-08-29-30.pcap.gz
63,2022-11-03 09:01:00.495976,can_tapper14,2022-11-03 09:00:00.495976,2022-11-03 09:03:00.495976,11.316666666666666,5.036334,119.814431,173910.958514,1500,334,441,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-03-09-00-55.pcap.gz
64,2022-11-03 09:41:05.641500,can_tapper14,2022-11-03 09:40:05.641500,2022-11-03 09:43:05.641500,11.575,35.904597,119.962684,2405.145524,1872,386,587,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-03-09-40-29.pcap.gz
65,2022-11-03 21:45:30.116932,can_tapper14,2022-11-03 21:44:30.116932,2022-11-03 21:47:30.116932,10.85,32.396479,119.950853,43464.475432,1830,358,578,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-03-21-44-57.pcap.gz
66,2022-11-04 09:21:38.637353,can_tapper14,2022-11-04 09:20:38.637353,2022-11-04 09:23:38.637353,9.4,23.769876,119.867343,41768.520421,1725,338,432,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-04-09-21-14.pcap.gz
67,2022-11-05 07:54:36.844977,can_tapper14,2022-11-05 07:53:36.844977,2022-11-05 07:56:36.844977,5.791666666666666,34.699922,119.920188,81178.207624,1857,382,603,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-05-07-54-01.pcap.gz
68,2022-11-05 16:33:53.610862,can_tapper14,2022-11-05 16:32:53.610862,2022-11-05 16:35:53.610862,9.25,59.953796,119.964477,31156.765885,2160,421,736,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-05-15-54-01.pcap.gz
69,2022-11-06 08:43:40.122206,can_tapper14,2022-11-06 08:42:40.122206,2022-11-06 08:45:40.122206,7.633333333333333,1.653434,119.930329,58186.511344,1460,318,510,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-06-08-43-38.pcap.gz
70,2022-11-09 08:26:46.437668,can_tapper14,2022-11-09 08:25:46.437668,2022-11-09 08:28:46.437668,9.883333333333335,59.947386,119.99609,258186.315462,2159,427,797,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-08-18-10.pcap.gz
71,2022-11-09 09:36:22.023610,can_tapper14,2022-11-09 09:35:22.023610,2022-11-09 09:38:22.023610,10.375,21.156843,119.942308,4175.585942,3390,722,1289,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-09-36-00.pcap.gz
72,2022-11-09 09:36:22.023610,can_tapper14,2022-11-09 09:35:22.023610,2022-11-09 09:38:22.023610,10.375,21.156843,119.942308,0.0,3390,722,1289,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-09-36-00.pcap.gz
73,2022-11-09 12:04:40.148733,can_tapper14,2022-11-09 12:03:40.148733,2022-11-09 12:06:40.148733,13.7,59.980975,119.953,8898.125123,2160,350,586,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-11-36-00.pcap.gz
74,2022-11-09 13:35:02.295123,can_tapper14,2022-11-09 13:34:02.295123,2022-11-09 13:37:02.295123,13.025,2.331196,119.988467,5422.14639,1468,289,466,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-13-34-59.pcap.gz
75,2022-11-09 16:57:23.516059,can_tapper14,2022-11-09 16:56:23.516059,2022-11-09 16:59:23.516059,13.883333333333335,59.953274,119.964993,12141.220936,2159,382,832,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-09-16-34-59.pcap.gz
76,2022-11-10 07:55:10.069117,can_tapper14,2022-11-10 07:54:10.069117,2022-11-10 07:57:10.069117,10.941666666666666,59.893155,119.942583,53866.553058,2158,435,739,//qar7000185/GP0_UPLOAD/BOXER/CYLOM\KZ-05-18_CP-35\20230530\can_Tapper14-11-10-07-41-02.pcap.gz
