start_index,start_time,can_tapper_id,event_time,t_rel,event_label,source_subfunction,source_subsub,event_color
647,2024-06-06 09:48:44.478415,can_tapper14,2024-06-06 09:48:45.775761,1.297346,Engine running command,Engine Status,status,"rgb(153,153,153)"
648,2024-06-10 09:02:55.671578,can_tapper14,2024-06-10 09:02:55.671578,0.0,Engine starting command,Engine Status,status,"rgb(228,26,28)"
648,2024-06-10 09:02:55.671578,can_tapper14,2024-06-10 09:02:53.468113,-2.203465,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(228,26,28)"
648,2024-06-10 09:02:55.671578,can_tapper14,2024-06-10 09:02:56.993829,1.322251,Engine running command,Engine Status,status,"rgb(228,26,28)"
649,2024-06-10 13:15:10.085870,can_tapper14,2024-06-10 13:15:10.085870,0.0,Engine starting command,Engine Status,status,"rgb(55,126,184)"
649,2024-06-10 13:15:10.085870,can_tapper14,2024-06-10 13:15:07.778096,-2.307774,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(55,126,184)"
649,2024-06-10 13:15:10.085870,can_tapper14,2024-06-10 13:15:11.601390,1.51552,Engine running command,Engine Status,status,"rgb(55,126,184)"
650,2024-06-20 08:51:24.494186,can_tapper14,2024-06-20 08:51:24.494186,0.0,Engine starting command,Engine Status,status,"rgb(77,175,74)"
650,2024-06-20 08:51:24.494186,can_tapper14,2024-06-20 08:51:22.388491,-2.105695,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(77,175,74)"
650,2024-06-20 08:51:24.494186,can_tapper14,2024-06-20 08:51:26.175672,1.681486,Engine running command,Engine Status,status,"rgb(77,175,74)"
651,2024-06-26 13:27:38.379669,can_tapper14,2024-06-26 13:27:38.379669,0.0,Engine starting command,Engine Status,status,"rgb(152,78,163)"
651,2024-06-26 13:27:38.379669,can_tapper14,2024-06-26 13:27:36.270250,-2.109419,Glow plugs preheating,Engine Heater Glow Plugs Status,Engine Heater Glow Plugs,"rgb(152,78,163)"
651,2024-06-26 13:27:38.379669,can_tapper14,2024-06-26 13:27:39.778729,1.39906,Engine running command,Engine Status,status,"rgb(152,78,163)"
652,2024-06-26 13:49:48.463032,can_tapper14,2024-06-26 13:49:48.463032,0.0,Engine starting command,Engine Status,status,"rgb(255,127,0)"
