start_index,start_time,can_tapper_id,t_rel,FM-Center Voltage PG1_est in 1/10V,FM-Center Voltage PG2 in 1/10V,FM-Center Voltage PG3_est in 1/10V,FM-Center Voltage PG4 in 1/10V,FM-Total Voltage in 1/10V,V_residual,V_mean_groups
0,2021-12-02 14:07:38.655817,can_tapper11,-59.29999999999989,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.27999999999989,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.25999999999989,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.23999999999988,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.21999999999988,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.19999999999988,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.17999999999987,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.15999999999987,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.139999999999866,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.11999999999986,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.09999999999986,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.079999999999856,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.05999999999985,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.03999999999985,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-59.01999999999985,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.99999999999984,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.97999999999984,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.95999999999984,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.93999999999984,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.91999999999983,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.89999999999983,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.87999999999983,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.85999999999982,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.83999999999982,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.819999999999816,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.79999999999981,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.77999999999981,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.759999999999806,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.7399999999998,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.7199999999998,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.6999999999998,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.679999999999794,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.65999999999979,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.63999999999979,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.61999999999978,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.59999999999978,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.57999999999978,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.559999999999775,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.53999999999977,,,,,,,
0,2021-12-02 14:07:38.655817,can_tapper11,-58.51999999999977,,,,,,,
